scrape,city,category,title,text
summer,Calgary,m4w,Tall beautiful blonde - m4w,Tall beautiful blonde at the Trop till closing Saturday June 6/15. You are a school teacher and spoke with my buddy a bit. Let me know how that conversation went so I know it's you. Your smile is amazing and would love to speak with you.
summer,Calgary,m4m,Downtown C-Train at 4:50pm June 23rd - m4m,"Today I boarded the C-Train downtown on 7th Avenue that goes to Tuscany. You started talking to me and I responded. I had to get off a few minutes later before the train left downtown. I would like to connect again. Just curious what motivated you to start talking to me.You are young and you have a beard. Tell me what you were carrying, what you told me you do for work, and what you lived nearby for years."
summer,Calgary,m4w,mar*ann - m4w,"Hello babyI lost access to my old email plz txt me, we use to meet in ur place on mondays  and have fun"
summer,Calgary,m4m,Sexy bearded pharmacist - m4m,"hey, not sure you'll ever see this. but here's hoping...we chatted a bit as you were wrapping up my order. i commented on you shaving your beard, and how I had really liked it. we commiserated about the challenges of sexy beardedness. ha. anyway, you're a handsome sexy beast. would love to grab a beer sometime. hit me up and let me know which pharmacy we were at.cheers bud."
summer,Calgary,m4m,Express at Chinook - m4m,"Long shot but worth a try. I was shopping in the store and I was looking at sunglasses and you greeted me. While I was browsing I asked your opinion of the colours of two underwear that I couldn't decide, I eventually went what you suggested and you smiled after. I think you're a really good looking and what love to go for a coffe or drink. Hope to hear from you.."
summer,Calgary,m4ww,Sexy girls with white dog at Mountain View Mobile Home Park - m4ww,"Hello,This posting is for the group of sexy girls who were at the baseball field by the Mountain View Mobile Park yesterday evening on June 22. There were 4 of you with a white dog walking it, sitting on bleachers, and sitting in the shade of a tree. I wish I could have come chatted with you, but by the time I was able to you had left already. There was one blonde in a sexy white crop top and blue short shorts who I think was the dog's owner. A brunette in hot black leggings. A second brunette in a pink shirt and short skirt. And finally another brunette in a mauve shirt.If you know any of these girls show them this posting because I would love to hang out with them and get to know them or if you live in this area and know them give them a shout.Thank you and have a great day!"
summer,Calgary,m4w,17th ave Se bus stop in front of pizza hut - m4w,"At the risk of sounding creepy I had to post...every morning on my way to work I see you waiting for a bus on 17 in front of pizza hut going DT.Every morning I want to stop and say hi and introduce myself... maybe give you my #... but its forest lawn lol a I don't want to offend you in any way...I know your not a hooker and I'm not looking for one lol.Anyway...so you know its you I wanna meet...you have dark hair..in a French braid today and glasses.I think you are beautiful and id love to get to know you..If by chance you see this id like to chat at least. Thanks and have a great day"
summer,Calgary,m4m,truck appreciation - m4m,"You, hot man in blue truck.  Me, in a little red car.  We exchanged looks and more today.  I would gladly meet up with you given the chance.  Tell me the make of your truck and where our exchange happened."
summer,Calgary,m4w,"Hello ""Looking"" - m4w","You were looking for a sense of humor, sent you a reply, humor was good for so late at night, you deleted your posting, you didn't reply to your CL number, I lost your contact, not sure if your getting the replies, let me know. Would love to hear from you again!!!"
summer,Calgary,m4w,Red Scarlett - m4w,"Anyone know Red Scarlett's phone number? I lost it like a fool, now I'm looking to meet her again and cannot fine it!  Please help me out!"
summer,Calgary,m4m,NW Brentwood Area - m4m,"Hey there. You work in my building and today you were wearing a grey form fitting t-shirt (very hot by the way) and grey striped shorts. You looked at me as you were going up the stairs and I back at you. Not sure if you are interested, but if you see this message let me know the name of the company that we work for."
summer,Calgary,m4m,LOOKING FOR ADAM- If I am correct that is what you said your name was - m4m,"I did not know how else to let you know that I am glad you approached me this morning (Friday June 19th). I was working on my laptop while having coffee at this Starbucks location. I am not sure if you are going to see this but I hope you do.....we briefly discusses what I was doing, if you see this posting and are interested contact me letting me now what we talked about and the Starbucks location"
summer,Calgary,m4m,To the owner of Charmin Royale email - m4m,"Hey dudeRemember me ? Your Asian cock sucker who service you from time to time starting year 2013 to last year until you move. I even remember sucking your 8""cut cock early morning even when you had a visitor .I hope your still into being sucked off & please hit me up with some of info you can remember about those days or where your place was."
summer,Calgary,m4m,dude with a necklace working out with a buddy - m4m,"dude with a necklace working out with a buddyIt was Sunday afternoon, you're working out with your buddy and your wearing a necklace,we had a few eye contacts. you and your buddy ended the heavy workout around 6pm or so, and he stayed for a bit in the changing room then he leave you alone, you hit the shower after. When your putting on your underwear I came at the right time and see right in front of me what beauty you have between your legs. I know you saw me looking at them, and I wanted to say hi but got shy and nervous.hey, if you think it's you, hit me up, I can give you a good relaxing massage after heavy workout, and it's really up to you want you want next, I will respect your limitations.Tell me what gym it was, the color of your short, or describe me"
summer,Calgary,m4w,Leisure centre hot tube - m4w,To the nice body in the black bikini at the south leisure centre today at around 10am. You were alone and I caught you glancing a few times it's a long shot but if you do read this describe what I had for ink and hair..........
summer,Calgary,w4m,Steven from okmeet - w4m,"Hey, I messaged you my number but not sure if you wrote it down. Please message me here if you see this."
summer,Calgary,w4m,Damn crush - w4m,"Ever wonder what it would be like if we met at a different time, different place, different circumstance? We know what we could be, if we could just be. We can't deny the magnetism between us, trying to hide it because we don't want to ruin any friendships, because we don't want things to be cliche... I know life is far too short to worry about what others think, too short not to tell people how you feel. But something always stops me and all I can do is apologize to you."
summer,Calgary,m4m,John - our paths never crossed - m4m,We had an email connection going a few months back. You were busy. Holiday got in between. I was away. You thought you were caught by your wife one night because you left the computer on and went to bed. We seemed to be a great match and I would still like to meet. You said you had glasses but not a beard. Hope you remember this lost opportunity. Tell me where were we supposed to meet and approximate age. Good time for me to finally meet and take you home.
summer,Calgary,m4m,DAVID - - m4m,"WE WERE HOOKING UP FOR AWHILE!!EARLY MORNING ADVENTURESmoved away looking to re connectI was off EDMONTON TRAIL and 7th ave."
summer,Calgary,w4w,BEAUTIFUL REDHEAD On 17 th Ave Patio Saturday evening - w4w,"You were sitting on a patio with two gentlemen Saturday evening. I was with my friends and commented how beautiful your smile was. You asked us to join you, but we had to leave. I can't stop thinking about your smile. If this is you, what's the name of the bar"
summer,Calgary,m4w,used to live at your house... - m4w,"you taught me a lot.. the  celestine prophecy, that book alone changed my life. Although I'm way younger, I'd like a chance with you. You are beautiful and I know this won't be seen by you but I've always had a fantasy about you... ;) You have my number, although I don't have yours, as I'm constantly losing things ;) you will know who I am, just tell me the date I moved out of your place... I also wish I could try it again"
summer,Calgary,m4w,fl1rtm15tr355..... - m4w,Its Mykhailo.... I cant send you messages.... oh how I hope you get this......I would really like to speak with you.
summer,Calgary,m4m,CHARBAR TODAY AROUND NOON - m4m,"You: a cyclist wearing blue cycling top and black bottom and with an Asian girl.We were glancing at each other several times. Caught you looking at me too several times too.  You look so cute. I would like to bike with you one day.Message me with how I looked like or any description of me you remember"
summer,Calgary,m4w,Copperfield - m4w,"Met a hot painter at the timmys in Copperfield,was to tongue tied to flirt.u thought I was someone else.u gave me a woody,lol.love to c u again"
summer,Calgary,m4w,Airdrie Sobeys this afternoon - m4w,Today you were in leggings hair in a pony tail. Curvy brunette. Very cute but I was with company. Wanted to say hi. Hope you get this.
summer,Calgary,m4m,LOOKING FOR ADAM- If I am correct that is what you said your name was - m4m,"I did not know how else to let you know that I am glad you approached me this morning (Friday, May 19th). I was working on my laptop while having coffee at this Starbucks location. I am not sure if you are going to see this but I hope you do.....we briefly discusses what I was doing, if you see this posting and are interested contact me letting me now what we talked about and the Starbucks location"
summer,Calgary,m4m,Tri way repair guy - m4m,You were the hot repair man in the building by the airport this morning fixing the AC/Heating unit
summer,Calgary,m4w,Beautiful Girl at Chinook - m4w,"Hhey you were the gorgeous girl working at the hat store today, u were helping me but i couldn't find what i was looking for, we should meet up, hit me up !! what was i wearing?"
summer,Calgary,m4m,furry cyclist - m4m,The second time we've passed by each other - a few weeks back you were wearing a white t-shirt on mtn bike on canal pathway from chestermere - I was headed towards chestermere on road bike and we nodded at each other. Today around noon you were shirtless showing off that amazing chest. Don't know if you swing this way but here's hoping. Get back to me if you're interested.
summer,Calgary,m4w,silly silly rabbit girls that play tricks - m4w,"Doubt you will actually make any sort of effort. Havent made any what so ever yet.My fight is diminishing very quickly cuz it is all I seem to do is fight figbt fight. All u do is detach. Then test test and tezt like what are u testing? If I will stay if u are hanging with someone else. If u feel for someone else let me know then I will go. Any attraction tell me.we see if h even call ha ha lol  ya right what a joke that is"
summer,Calgary,m4m,Oakridge Co-op June 4 - m4m,"hey dude. we were both grabbing groceries about 5:00. made contact in the dairy and shared a laugh. you are a sexy guy. would love to check out what you were packing in those black sweats.get back and let me know what kind of product we were laughing about. i live nearby. we could chill, grab a beer, fool around a bit."
summer,Calgary,m4m,The Bay Downtown - m4m,"Friday at 5pm you and I were wandering through a few departments in the store, if you see this tell me what you remember.I'd like to hang out with you."
summer,Calgary,m4w,Granville Island Hotel - m4w,"You took my picture on the balcony I eventually broke your heartDo you ever think me ?  Do you still cherish our time together ? Would you like another shot ?   Do you still love me ? Would you be willing to go all in ?"
summer,Calgary,m4w,Sorry I farted on you - m4w,"The situation. I was at Chinook mall with my room mate. I was standing at the kiosk on the lower floor close to the Starbucks and escalators. I was waiting for my room mate while he was doing his thing. I had to fart, and I honestly thought it would be silent, and no one would notice. Well, it came out a lot louder than I intended. I also didn't expect you and your boyfriend to be standing directly behind me at that moment. I know you laughed, you had the most beautiful smile from it. Your boyfriend didn't look happy at all tho. I don't expect anything to come out of this, you sure are gorgeous, but I mostly wanted just a chance to apologize to you. It was never my intention to fart on you. If things don't work out with your boyfriend, I promise you I can make a better second impression."
summer,Calgary,m4w,Folk fest - m4w,"Hi Y! It's been a while. Since there was snow outside! I heard Regina Spektor in the car today, ""the consequence of sound"" and I thought of you and our silly promise. Trouble is I can't seem to find you. If you're you, and you're still keen for a night of good times and good music, send me a note. If not, I'll just pretend it's because you're happy and it was never meant to be."
summer,Calgary,m4w,Hot Hot neighbor across the way - m4w,"HeyI have tried this before and after you walked by as I was parking I had to try againYou are so sexy....your dog is cute too."
summer,Calgary,m4m,Handsome man on 9 ave - m4m,"You were the handsome bald, black man walking with a friend down 9 th avenue around 230 today. I was in a car, turning left onto 9th from 5th street.  Unlikely you'll see this, but if you do, let me know what type of car I was driving.  Would love to meet up man."
summer,Calgary,m4w,2:30 woman on crotch rocket 11th and 3rd - m4w,You pulled up to our truck and winked!  I'd love to connect hit me back with the colour of our truck
summer,Calgary,m4m,Good looking guy in chinook - m4m,On thursday we glanced at each other in the food court and then we bumped into each other in chapters..was too shy to say hello but I felt you where into me..If this is u send me a msg and we can exchange pics to see if its the right person.
summer,Calgary,m4w,Tim's on 58th - m4w,"You were in line behind me at Tim's on 58th ave SE today at noon time and then we waited for our orders together engaging in some small talk. I was a bit frazzled as you were very friendly and certainly easy on the eyes! I doubt you will see this but if you do, I just wanted to say that that top you had on accentuated your goddess-like body very nicely! I'd love to hear back from you, so if you see this reply with what you said you'd rather be doing this afternoon. :)"
summer,Calgary,m4w,Beacon Hill gym - m4w,"Hi Dear, We met at the Beacon Hill gym; actually we were working out not far from each other. You were looking at me couple of times and probably you thought that I did not observe this. Feel free to send me a message, maybe we can go for a coffee or lunch.Have an excellent day,"
summer,Calgary,m4m,Sexy bearded pharmacist - m4m,"hey, not sure you'll ever see this. but here's hoping...we chatted a bit as you were wrapping up my order. i commented on you shaving your beard, and how I had really liked it. we commiserated about the challenges of sexy beardedness. ha. anyway, you're a handsome sexy beast. would love to grab a beer sometime. hit me up and let me know which pharmacy we were at.cheers bud."
summer,Calgary,m4w,KFC / Taco Bell 32 Ave NE - m4w,"I saw you today, around 5:30 pm at the KFC / Taco Bell on 32nd Ave NE. You came in, got your order to go, and while you were getting ready to leave, you put your order on the table across from me, and put your ear buds in, and then left. You walked towards the east, on the north side of the road, the same as where the KFC is on. Have seen you there before, and noticed you then but didn't say anything. Didn't say anything again today, but I hope that you see this and contact me."
summer,Calgary,m4w,C-Train Red Head Trying to get Enough money to eat - m4w,"It was about a week and a half ago now... You were asking folks if they could spare any change. You were trying to get enough money together to buy some food :( When you asked me, I said I thought I might have a few coins, you thanked me and said I was the first person who even checked if they had anything to spare. I gave you what I had in my pocket.I was standing by the doors with my bike, fiddling on my cell phone when you approached me. Really hope you managed to get some food. Would love to hear from you. Stay safe.    Z"
summer,Calgary,m4w,LOST MY DOG - m4w,"hey there im hoping you find this! We bumped into each other by elbow drive, my dog took off! We originally saw each other by the path as you were walking to a building, if you read this, tell me what color my truck was and my jacket!"
summer,Calgary,m4m,NW Lab - m4m,"I saw you today walking a bit behind me heading to Brentwood station. You have blonde hair and wear glasses. You were carrying a bag.Not sure if you are into men, but we did make eye contact that lasted a bit more than a glance.If this is you, tell me the name of the lab."
summer,Calgary,m4w,Mature Kim in SE Calgary - m4w,"I simply love watching you work in your front yard in your very small shorts and tight fitting top. Your married, retired and strikingly sexy. I live near you and cant risk saying anything to you but believe me I am watching you."
summer,Calgary,m4w,Yummy Candy in Seton - m4w,I simply love watching you work or relax in your back yard. Your married and have kids but you are strikingly sexy. I live near you and cant risk saying anything to you but believe me I am watching you.
summer,Calgary,m4w,Earls Tin Palace - m4w,I was having a late lunch today and you were my server. You were so attentive and sweet. I wanted to say I would have shared my bottle of wine with you if you were interested at all in an older man. If you read this(which you wont) tell me if we split the bill?
summer,Calgary,m4w,Max Bell Train Station June 17 - m4w,"We both got off the train around 4:20 and as we passed each other on the walking ramp you caught me looking at you and smiled. I smiled back and wanted to talk to you, I even slowed down to let you catch up, but then I chickened out. Your smile was beautiful and so were you. I can't help but think there was a spark between us even if it was a simple exchange of smiles. I haven't stopped thinking about you since and would love to chat/meet for coffee if you ever find this post. I hope to run into you again soon. Describe me so I know it is you."
summer,Calgary,m4m,handsome man AHS SW - m4m,"We walked past each other in the AHS parking lot. We nodded and said hi. II was wondering if you see this, was there some interest.Let me know what colour your coat was."
summer,Calgary,m4w,Berwick server - m4w,Why did you stop serving us? ... The banter was fantastic. Let me where we were sitting.
summer,Calgary,m4w,Good looking girl in coke truck on 17 - m4w,You were passing by in a big coke truck. If you see this we should hang out sometime. Not sure if you waved but I looked away to quick. Tell me what I was wearing if you see this
summer,Calgary,m4m,Cedar Shop - m4m,"Picked up some lumber today in the yard, you helped load it into my truck.  Thought you were incredibly sexy.  Think you looked back at me a couple of times - tell me what I was driving and what type of lumber I picked up.  Be really happy to go for a coffee and see where it goes."
summer,Calgary,w4m,thank you! guy at Ogden 7-11 who payed for my sweets yesterday! - w4m,"my card was declined for $3.87, how sad.... then as i went to look for my other card/money in my car (to pay for chips and some gummy candies), you payed for them and brought them to me.  Here's to you, Dirty-white-lighter guy, you're awesome!! I appreciate you and you've inspired me and thank you!!!!! Have the best life and luck ever!"
summer,Calgary,m4m,Saw you at talisman yesterday Around 1pm - m4m,"saw you yesterday at talisman you were wearing grey shorts that showed your amazing spectacular ass , you came down to the lower area and walked around I was bench pressing and than you left , I think you are the hottest guy I ever seen I get so hard thinking about your amazing ass , I think you were wearing red t shirt and your shorts were grey and sort of shiny . I would do anything to have fun with you"
summer,Calgary,t4mm,lets have a good time - t4mm,"i have a privet room to day the 17th from 11am on wards address golithas bathhouse 308b 17th avenue s.w.(behind the milk restaurant) looking for guys in there 30s to 50s total tops. see u there, do not e-mail me, i have posted the address."
summer,Calgary,m4w,Thornhill pool - m4w,"You: stunning blonde behind the reception counter. Me: guy dropping off the lift  I wanted to tell you how beautiful you are but your coworker was hanging around. Hope you read this."
summer,Calgary,m4w,University Heights Mac's store Indian clerk - m4w,"Hey I came into your store to pick up a pack of belmonts, I had blonde hair and we spoke breefly when I asked if your day had been long. I meant to be friendly but when I looked up and I was met with such a welcoming and gorgeous smile. If I remember correctly your name tag said Jas, get back to me and we will exchange pics to see if we are the right people."
summer,Calgary,w4m,Saw you on 7ave SW 2 days ago - w4m,"You walked by at me outside the bay, we made eye contact and you smiled but unofortuantely I could not return the smile because I am a little shy when it comes to strangers. You had brown hair, blue eyes and you had a bigger side bag, something like a gym bag. If you think this you just reply with what you think I was wearing,"
summer,Calgary,m4m,Tennis walling - m4m,"Hi we were tennis walling last saturday afternoon and you take off your shirt. Your hot body were exposed and can't concentrate anymore. I would like to ask you to play with me on the court but got shy. If you see this and interested for something fun or just pure tennis, please hit me up and describe anything that you can remember that time."
summer,Calgary,m4m,Dan/Nurse in the ICU Peter Lougheed - m4m,"I'm in your unit visiting and have to say you are extremely good looking and very friendly.  Not sure if you're into guys, but wow I hope you are!Tell me what was in the container I gave you and I know you know my name. Would love to get to know you better!  As I'm typing this you walked into my room."
summer,Calgary,m4w,Starbucks - m4w,"I'm not really too sure you will read this but I wanted to say thank you for buying my drink order on Friday. You were the vehicle ahead of me in the drive thru and you took off before I could say anything. I've been having a rough couple of weeks and that really made me feel better, so thank you"
summer,Calgary,m4m,top for bottom - m4m,"good looking top iso masc bottoms for today. You must be able to host and clean dudes only. Pics to the front of the line. Let me know your fantasies and I'll make it happen"
summer,Calgary,m4w,Looking for sexy BBW - m4w,"Hello I'm a 28 year old guy looking for a FWB situation with a BBW. Tell me about yourself and send a picture, hopefully we click and can meet up sooner rather than later."
summer,Calgary,w4m,I can't let go - w4m,I miss you so much and still hurt so much .I don't know why I can't let go of us. we hurt each other so much we have have damaged our kids for the rest of there lives yet still I live you with a'll my heart and I hope that you have found happiness. sorry for the hurt that has happened an do hope you understand that this is the only way I can finally let go . I can't hurt myself or you or the kids ever again. I love you and pretty sure that even if I married someone else if you came to me I would still give it all up to be with you. la lvs gm aaf  no more hurt anymore
summer,Calgary,m4w,blue pt cruiser - m4w,We went back and forth. Love your hair and eyes. We traded a smile or 2. Tell me what was I driving so I know it's you.. who knows !!
summer,Calgary,m4w,Vern's Pizza - m4w,You came in around 1215 pm. and ordered 2 slices of double pepperoni with a worker.  I find you really attractive and noticed your stylish glasses.  We shares a smile when walked in. Tell me what I was wearing so I know it's you.
summer,Calgary,m4w,Meet on plane to Kamloops - m4w,"Morning,you were the last on the plane and headed to Kamloops to golf.you were going to play Eagle Point and stay in Sun Rivers.we had a nice chat.you are from Airdre"
summer,Calgary,m4t,saw you at the mall - m4t,"Hello,I saw you at the mall yesterday and thought you were absolutely beautiful. It was about 330 and i have thought about you since. I wish i would of chatted with you when we were in line together. You were also on the phone so i didnt want to be rude. If i had to guess you were possibly latina and in your 20's? I hope to hear from you. Perhaps you can tell me which store we saw each other."
summer,Calgary,m4w,leather pink jacket Tim Hortons - m4w,"You were wearing a leather pink jacket and great blue jeans and we spoke when I first came in. You handed the borrowed pen back before you left.I should have got the nerve up to speak but maybe this could work?Please respond telling me where this was"
summer,Calgary,m4w,Should have asked for your number - m4w,"Cheryl from ChestermereYou were on your way to Calgary, after having spent a week in Kelowna due to a cancelled Cabo trip, due to a tropical storm. We sat with an empty seat between us and no sooner did you sit down, we started talking. Hit it off pretty good I might say, as we talked all the way to Edmonton, barely taking a breath. I mentioned that I was coming away from a Yoga retreat and you showed some interest. I didn't ask you for your number. Stupid of me.There isn't much that we didn't talk about and we spilled the Coles notes version of the past 20 yrs. Love to get in touch with you! Btw, say hi to mom and dad next time your in Slave."
summer,Calgary,m4w,Spent so many sweet years together - m4w,"sometimes i feel like we grew up together, other times its as if we are too far apart.  Just wanted to reach out in a different way....no other works.... are you still you?always alone"
summer,Calgary,w4m,RE: Yummy Candy in Seton - m4w - 41 (SE) - w4m,"Maybe I have seen you too. I like that you have noticed me, as I don't get much attention. I wish you would say ""hi"""
summer,Calgary,m4m,Hot! Peace Officer - m4m - m4m,"You came in with your fellow team early this morning. I could not keep my eyes off of you, and I know that you had noticed me staring at you, but it is cause I think you were really HOT!let me know what you look like and what I was doing so that I know it is you. I hope to hear from you soon stud!"
summer,Calgary,m4w,smile - m4w,"I never knew a broken heart could keep on breaking You keep sending your love but no one is there to take it River of tears keep a steady flow But no one is there to know It's you, you who I want here with me All of  want I think and feel, it's you who I want to see Not a day goes by without wishing for a hug a kiss a laugh a cry  Or just a simple touch Not a night goes by I don't miss you so much My heart breaks just a little bit more every day Shards turned to ice constantly falling to the floor I pray everyday that some how some way You'll be back into my life My love... forever and for always Smile"
summer,Calgary,m4w,smile - m4w,"I never knew a broken heart could keep on breaking You keep sending your love but no one is there to take it River of tears keep a steady flow But no one is there to know It's you, you who I want here with me All of  want I think and feel, it's you who I want to see Not a day goes by without wishing for a hug a kiss a laugh a cry  Or just a simple touch Not a night goes by I don't miss you so much My heart breaks just a little bit more every day Shards turned to ice constantly falling to the floor I pray everyday that some how some way You'll be back into my life My love... forever and for always Smile"
summer,Calgary,m4w,Hot Blonde Yellow Car E. Bound Heritage Dr. - m4w,You were east bound on Heritage Dr. at about 12:15 today driving a bright yellow car and you have long blonde hair.  I have but one word.  Wowzers!
summer,Calgary,m4w,ASIAN LADY on 201 shuttle bus near Banff Trail station around 7:30PM - m4w,"I was wearing a black baseball cap and a grey sweater, was carrying a guitar. You wore glasses and had some white shopping bags. I smiled at you a couple times and waved when I got off the bus. I thought you were beautiful, kind of bummed out that I didn't get a chance to say hello to you. If you see this PLEASE reply and send me a message!  :)"
summer,Calgary,m4m,Hott TELUS rep. centre court - m4m,"You helped me with the promotion. Said I could call you but did you mean for work related reasons.You were the blonde guy that had to move go your boss.Let me know if you were into me"
summer,Calgary,w4m,"I supposed we all experienced something, ZebraTint20 - w4m",This is yer user name at NSATonight.  We talked for three weeks over pretty much all of it.  I opened up to you with some penetrating things.  Currently yer user profle is no place to be located.  Did you manage to meet some body different then delete it?
